"","Province","Health Facility","Period","name","percent","num","den","np"
"48","Cabo Delgado","Natite CS","2025Q4","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"49","Maputo","Matola II CS","2025Q1","Positivity < 2 month",0,0,70,"0%
 (0/70)"
"50","Maputo","Matola II CS","2025Q1","Positivity 2 - 12 month",0,0,0,"0%
 (0/0)"
"51","Maputo","Matola II CS","2025Q1","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"52","Maputo","Matola II CS","2025Q2","Positivity < 2 month",0,0,101,"0%
 (0/101)"
"53","Maputo","Matola II CS","2025Q2","Positivity 2 - 12 month",0,0,3,"0%
 (0/3)"
"54","Maputo","Matola II CS","2025Q2","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"55","Maputo","Matola II CS","2025Q3","Positivity < 2 month",0.00943396226415094,1,106,"0.9%
 (1/106)"
"56","Maputo","Matola II CS","2025Q3","Positivity 2 - 12 month",0,0,0,"0%
 (0/0)"
"57","Maputo","Matola II CS","2025Q3","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"58","Maputo","Matola II CS","2025Q4","Positivity < 2 month",0,0,59,"0%
 (0/59)"
"59","Maputo","Matola II CS","2025Q4","Positivity 2 - 12 month",0,0,0,"0%
 (0/0)"
"60","Maputo","Matola II CS","2025Q4","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"61","Nampula","1 de Maio CSURB","2025Q1","Positivity < 2 month",0.0272727272727273,3,110,"2.7%
 (3/110)"
"62","Nampula","1 de Maio CSURB","2025Q1","Positivity 2 - 12 month",0.428571428571429,6,14,"42.9%
 (6/14)"
"63","Nampula","1 de Maio CSURB","2025Q1","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"64","Nampula","1 de Maio CSURB","2025Q2","Positivity < 2 month",0.0152671755725191,2,131,"1.5%
 (2/131)"
"65","Nampula","1 de Maio CSURB","2025Q2","Positivity 2 - 12 month",0.166666666666667,1,6,"16.7%
 (1/6)"
