"Province","Health Facility","Period","1st ANC visit","Clients elegible for HIV test at 1st ANC","1st ANC clients tested for HIV","Total HIV+ clients at ANC","Known HIV+ at entry","New HIV-positive clients","Initiated on ART","% of pregnant women tested for HIV (Facility)","Positivity at ANC","PMTCT ART Coverage","PMTCT_STAT_POS_ALL","Exposed children","New children exposed to HIV at CCR <2","New children exposed to HIV at CCR 2 - 12","New children exposed to HIV at CCR 12 - 18","1st PCR collected","1st PCR collected (<2 Months)","1st PCR collected (2-12 Months)","1st PCR collected (12-18 Months)","New HIV+ infants","New HIV+ infants < 2 month","New HIV+ infants 2 - 12 month","New HIV+ infants (0-12 Months)","New HIV+ infants (12-18 Months)","New HIV+ infants initiated ART","New HIV+ infants initiated ART < 2 month","New HIV+ infants initiated ART 2 - 12 month","New HIV+ infants initiated ART 12 - 18 month","coverage PMTCT_EID","PCR Coverage","coverage PMTCT_EID <2 months","coverage PMTCT_EID 2-12 months","coverage PMTCT_EID 12-18 months","Positivity","Positivity < 2 month","MFR v2 | Number of children tested HIV positive | PCR < 2 month","MFR v2 | Infants tested for HIV | PCR < 2 month","Positivity 2 - 12 month","MFR v2 | Number of children tested HIV positive | PCR 2 - 12 month","MFR v2 | Infants tested for HIV | PCR 2 - 12 month","Positivity 12 - 18 month","FSS v2 | New HIV positive children (PCR test) | Moz 12 - 18","FSS v2 | 1st PCR performed | Moz 12 - 18","PMTCT_HEI_POS_ART Coverage","PMTCT_HEI_POS_ART Coverage < 2 month","PMTCT_HEI_POS_ART Coverage 2 - 12 month","PMTCT_HEI_POS_ART Coverage 12 - 18 month","New HIV+ women at ANC","New HIV+ women started ART at CRC","Number of women who collected VL test at ANC","Number of women who collected VL test at CRC","Number of women with VL result at ANC","Number of women with VL result at CRC","Number of women with suppressed VL at ANC","Number of women with suppressed VL at CRC","Number of new children enrolled in ART","Number of children being followed up on ART","Number of children who took VL test","Number of children with VL result","Number of children with suppressed VL","Numerador_FSS_ANC","Denominador_MFR_ANC","Linkage at ANC","Numerador_FSS_CCR","Denominador_MFR_CCR","Linkage at CCR","% of women with VL result at ANC","% of women with VL result at CRC","% of women with suppressed VL at ANC","% of women with suppressed VL at CRC","% of children with VL result","% of children with suppressed VL"
"Nampula","HD Moma","2025Q3",2083,1972,1972,138,111,27,27,1,0.0136916835699797,1,32,145,117,27,1,146,117,28,1,8,3,4,7,1,8,3,4,1,4.5625,1.00689655172414,3.65625,0.875,0.03125,0.0547945205479452,0.0256410256410256,3,117,0.142857142857143,4,28,1,1,1,1,1,1,1,138,5,79,146,69,159,63,153,35,889,48,20,18,138,138,1,5,4,1.25,0.873417721518987,1.08904109589041,0.91304347826087,0.962264150943396,0.416666666666667,0.9
"Nampula","HD Moma","2025Q4",1704,1621,1621,109,83,26,26,1,0.0160394818013572,1,31,103,89,14,0,103,89,14,0,2,1,1,2,0,2,1,1,0,3.32258064516129,1,2.87096774193548,0.451612903225806,0,0.0194174757281553,0.0112359550561798,1,89,0.0714285714285714,1,14,0,0,0,1,1,1,0,107,1,57,121,80,177,66,149,11,829,76,36,33,107,109,0.981651376146789,1,3,0.333333333333333,1.40350877192982,1.46280991735537,0.825,0.84180790960452,0.473684210526316,0.916666666666667
"Nampula","HG Marrere","2025Q1",884,829,829,66,55,11,11,1,0.0132689987937274,1,14,64,59,5,0,67,60,7,0,4,1,3,4,0,4,1,3,0,4.78571428571429,1.046875,4.28571428571429,0.5,0,0.0597014925373134,0.0166666666666667,1,60,0.428571428571429,3,7,0,0,0,1,1,1,0,66,0,73,84,55,78,42,70,15,1259,47,46,42,66,66,1,0,2,0,0.753424657534247,0.928571428571429,0.763636363636364,0.897435897435897,0.978723404255319,0.91304347826087
"Nampula","HG Marrere","2025Q2",902,848,848,71,54,17,17,1,0.0200471698113208,1,21,71,66,5,0,72,66,6,0,4,1,3,4,0,4,1,3,0,3.42857142857143,1.01408450704225,3.14285714285714,0.285714285714286,0,0.0555555555555556,0.0151515151515152,1,66,0.5,3,6,0,0,0,1,1,1,0,61,0,55,93,53,72,45,59,4,673,32,44,38,61,71,0.859154929577465,0,4,0,0.963636363636364,0.774193548387097,0.849056603773585,0.819444444444444,1.375,0.863636363636364
"Nampula","HG Marrere","2025Q3",1023,958,958,84,65,19,19,1,0.0198329853862213,1,20,65,56,9,0,65,56,9,0,2,0,2,2,0,2,0,2,0,3.25,1,2.8,0.45,0,0.0307692307692308,0,0,56,0.222222222222222,2,9,0,0,0,1,0,1,0,84,1,88,178,84,156,70,135,19,694,45,59,51,84,84,1,1,1,1,0.954545454545455,0.876404494382023,0.833333333333333,0.865384615384615,1.31111111111111,0.864406779661017
"Nampula","HG Marrere","2025Q4",1178,1127,1127,69,51,18,19,1,0.0159716060337178,1.05555555555556,24,80,72,7,1,80,72,7,1,2,1,1,2,0,2,1,1,0,3.33333333333333,1,3,0.291666666666667,0.0416666666666667,0.025,0.0138888888888889,1,72,0.142857142857143,1,7,0,0,1,1,1,1,0,70,1,71,118,73,94,63,83,9,682,50,49,44,70,70,1,1,5,0.2,1.02816901408451,0.796610169491525,0.863013698630137,0.882978723404255,0.98,0.897959183673469
"Nampula","Hospital Psiquiatrico","2025Q1",1449,1363,1363,160,86,74,74,1,0.0542920029347029,1,74,110,102,8,0,110,102,8,0,5,4,1,5,0,5,4,1,0,1.48648648648649,1,1.37837837837838,0.108108108108108,0,0.0454545454545455,0.0392156862745098,4,102,0.125,1,8,0,0,0,1,1,1,0,162,0,20,80,92,116,87,111,12,1357,26,55,47,162,160,1.0125,0,0,0,4.6,1.45,0.945652173913043,0.956896551724138,2.11538461538462,0.854545454545454
"Nampula","Hospital Psiquiatrico","2025Q2",1439,1383,1383,105,56,49,49,1,0.0354302241503977,1,49,110,100,10,0,110,100,10,0,3,2,1,3,0,3,2,1,0,2.24489795918367,1,2.04081632653061,0.204081632653061,0,0.0272727272727273,0.02,2,100,0.1,1,10,0,0,0,1,1,1,0,94,0,21,23,45,69,43,62,11,799,26,27,23,94,105,0.895238095238095,0,0,0,2.14285714285714,3,0.955555555555556,0.898550724637681,1.03846153846154,0.851851851851852
"Nampula","Hospital Psiquiatrico","2025Q3",2040,1960,1960,132,80,52,52,1,0.026530612244898,1,52,138,122,16,0,138,126,12,0,4,3,1,4,0,4,3,1,0,2.65384615384615,1,2.42307692307692,0.230769230769231,0,0.0289855072463768,0.0238095238095238,3,126,0.0833333333333333,1,12,0,0,0,1,1,1,0,132,0,40,113,90,107,86,102,20,700,75,34,30,132,132,1,0,0,0,2.25,0.946902654867257,0.955555555555556,0.953271028037383,0.453333333333333,0.882352941176471
"Nampula","Hospital Psiquiatrico","2025Q4",1809,1741,1741,110,68,42,42,1,0.0241240666283745,1,42,119,105,14,0,119,105,14,0,4,1,3,4,0,4,1,3,0,2.83333333333333,1,2.5,0.333333333333333,0,0.0336134453781513,0.00952380952380952,1,105,0.214285714285714,3,14,0,0,0,1,1,1,0,110,0,50,125,77,123,75,121,16,737,40,85,81,110,110,1,0,0,0,1.54,0.984,0.974025974025974,0.983739837398374,2.125,0.952941176470588
"Nampula","Muhala PS","2025Q1",2361,2253,2253,166,108,58,58,1,0.0257434531735464,1,60,172,160,12,0,172,160,12,0,3,2,1,3,0,3,2,1,0,2.86666666666667,1,2.66666666666667,0.2,0,0.0174418604651163,0.0125,2,160,0.0833333333333333,1,12,0,0,0,1,1,1,0,166,0,21,215,68,230,65,227,21,1071,44,42,39,166,166,1,0,2,0,3.23809523809524,1.06976744186047,0.955882352941177,0.98695652173913,0.954545454545455,0.928571428571429
"Nampula","Muhala PS","2025Q2",2255,2144,2144,185,111,74,74,1,0.0345149253731343,1,76,161,151,10,0,161,151,10,0,7,3,4,7,0,7,3,4,0,2.11842105263158,1,1.98684210526316,0.131578947368421,0,0.0434782608695652,0.0198675496688742,3,151,0.4,4,10,0,0,0,1,1,1,0,155,0,18,167,96,150,93,148,21,1018,41,50,47,155,185,0.837837837837838,0,2,0,5.33333333333333,0.898203592814371,0.96875,0.986666666666667,1.21951219512195,0.94
"Nampula","Muhala PS","2025Q3",2712,2586,2586,184,126,58,58,1,0.0224284609435422,1,62,184,155,29,0,186,155,29,2,5,1,2,3,2,5,1,2,2,3,1.01086956521739,2.5,0.467741935483871,0.032258064516129,0.0268817204301075,0.00645161290322581,1,155,0.0689655172413793,2,29,1,2,2,1,1,1,1,184,4,44,345,112,304,109,301,33,1101,64,71,68,184,184,1,4,4,1,2.54545454545455,0.881159420289855,0.973214285714286,0.990131578947368,1.109375,0.957746478873239
